ITEM,ZONA,DESCRIÇÃO DO DOCUMENTO,DT-INICIO,DT-FIM,GUARDA,UNID. TEMPO,DESTINAÇÃO,QUANTIDADE,CONSERVAÇÃO,DESCRICAO,DT_PROC,EVENTO
169,9,Oficio n. 14/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
170,9,Oficio n. 014/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
171,9,Oficio n. 15/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
172,9,Oficio n. 015/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
173,9,Oficio n. 016/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
174,9,Oficio n. 017/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
175,9,Oficio n. 018/CE,,2010,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
176,9,Oficio n. 18/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
177,9,Oficio n. 019/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
178,9,Oficio n. 19/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
179,9,Oficio n. 020/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
180,9,Oficio n. 020/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
181,9,Oficio n. 20/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
182,9,Oficio n. 20/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
183,9,Oficio n. 21/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
184,9,Oficio n. 021/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
185,9,Oficio n. 21/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
186,9,Oficio n. 22/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
187,9,Oficio n. 23/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
188,9,Oficio n. 23/GABJU,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
189,9,Oficio n. 26/GABJU,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
190,9,Oficio n. 028/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
191,9,Oficio n. 028/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
192,9,Oficio n. 029/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
193,9,Oficio n. 030/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
194,9,Oficio n. 031/2010,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
195,9,Oficio n. 031/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
196,9,Oficio n. 032/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
197,9,Oficio n. 032/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
198,9,Oficio n. 033/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
199,9,Oficio n. 034/CE,,2010,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
200,9,Oficio n. 034/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
201,9,Oficio n. 034/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
202,9,Oficio n. 035/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
203,9,Oficio n. 036/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
204,9,Oficio n. 036/JE,,2009,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
205,9,Oficio n. 37/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
206,9,Oficio n. 37/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
207,9,Oficio n. 037/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
208,9,Oficio n.038/GJ,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
209,9,Oficio n. 038/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
210,9,Oficio n. 038/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
211,9,Oficio n. 39/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
212,9,Oficio n.039/GJ,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
213,9,Oficio n. 039/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
214,9,Oficio n. 039/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
215,9,Oficio n. 40/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
216,9,Oficio n. 41/GJ,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
217,9,Oficio n. 042/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
218,9,Oficio n. 42/GJ,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
219,9,Oficio n. 043/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
220,9,Oficio n. 044/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
221,9,Oficio n. 044/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
222,9,Oficio n. 045/JE,,2010,2,ano,Eliminação,7,Bom,Outro,30/05/2022,484647
223,9,Oficio n. 045/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
224,9,Oficio n. 046/JE,,2010,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
225,9,Oficio n. 046/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
226,9,Oficio n. 047/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
227,9,Oficio n. 047/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
228,9,Oficio n. 048/CE,,2010,2,ano,Eliminação,8,Bom,Outro,30/05/2022,484647
229,9,Oficio n. 048/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
230,9,Oficio n. 049/CE,,2010,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
231,9,Oficio n. 049/JE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
232,9,Oficio n. 050/CE,,2010,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
233,9,Oficio n. 050/GABJU,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
234,9,Oficio n. 050/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
235,9,Oficio n. 051/CE,,2010,2,ano,Eliminação,9,Bom,Outro,30/05/2022,484647
236,9,Oficio n. 052/CE,,2010,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
237,9,Oficio n. 052/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
238,9,Oficio n. 053/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
239,9,Oficio n. 053/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
240,9,Oficio n. 054/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
241,9,Oficio n. 054/GABJU,,2010,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
242,9,Oficio n. 055/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
243,9,Oficio n. 055/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
244,9,Oficio n. 056/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
245,9,Oficio n. 056/GABJU,,2010,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
246,9,Oficio n. 057/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
247,9,Oficio n.057/GABJU/2010,,2010,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
248,9,Oficio n. 058/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
249,9,Oficio n. 059/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
250,9,Oficio n. 59/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
251,9,Oficio n. 060/JE,,2010,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
252,9,Oficio n. 060/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
253,9,Oficio n.61/GABJU/2010,,2010,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
254,9,Oficio n. 061/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
255,9,Oficio n. 62/GABJU/2010,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
256,9,Oficio n. 062/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
257,9,Oficio n. 063/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
258,9,Oficio n. 063/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
259,9,Oficio n. 064/JE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
260,9,Oficio n. 064/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
261,9,Oficio n. 066/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
262,9,Oficio n. 067/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
263,9,Oficio n. 068/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
264,9,Oficio n. 069/JE,,2010,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
265,9,Oficio n. 069/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
266,9,Oficio n. 070/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
267,9,Oficio n. 070/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
268,9,Oficio n. 071/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
269,9,Oficio n. 072/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
270,9,Oficio n. 073/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
271,9,Oficio n. 073/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
272,9,Oficio n. 073/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
273,9,Oficio n. 074/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
274,9,Oficio n. 074/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
275,9,Oficio n. 074/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
276,9,Oficio n. 073/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
277,9,Oficio n. 075/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
278,9,Oficio n. 075/GABJU,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
279,9,Oficio n. 075/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
280,9,Oficio n. 076/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
281,9,Oficio n. 077/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
282,9,Oficio n. 078/CE,,2010,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
283,9,Oficio n. 079/CE,,2010,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
284,9,Oficio n. 080/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
285,9,Oficio n. 081/CE,,2010,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
286,9,Oficio n. 082/JE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
287,9,Oficio n. 083/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
288,9,Oficio n. 084/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
289,9,Oficio n. 088/JE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
290,9,Oficio n. 089/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
291,9,Oficio n. 090/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
292,9,Oficio n. 091/JE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
293,9,Ofício n. 094/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
294,9,Oficio n. 095/CE,,2010,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
295,9,Oficio n. 096/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
296,9,Oficio n. 097/CE,,2010,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
297,9,Oficio n. 098/CE,,2010,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
298,9,Oficio n. 099/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
299,9,Oficio n. 100/CE,,2010,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
300,9,Oficio n. 001/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
301,9,Oficio n. 002/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
302,9,Oficio n. 003/GABJU,,2011,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
303,9,Oficio n. 004/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
304,9,Oficio n. 005/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
305,9,Oficio n. 006/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
306,9,Oficio n. 007/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
307,9,Oficio n. 008/GABJU,,2011,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
308,9,Oficio n. 009/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
309,9,Oficio n. 010/GABJU,,2011,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
310,9,Oficio n. 011/GABJU,,2011,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
311,9,Oficio n. 012/GABJU,,2011,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
312,9,Oficio n. 013/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
313,9,Oficio n. 014/GABJU,,2011,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
314,9,Oficio -n. 015/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
315,9,Oficio n. 016/GABJU,,2011,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
316,9,Oficio n. 017/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
317,9,Oficio n: 018/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
318,9,Oficio n. 019/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
319,9,Oficio n. 020/GABJU,,2011,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
320,9,Oficio n. 021/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
321,9,Oficio n. 022/JE,,2011,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
322,9,Oficio n. 023/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
323,9,Oficio n. 024/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
324,9,Oficio n. 025/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
325,9,Oficio n. 026/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
326,9,Oficio n. 026/JE,,2011,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
327,9,Oficio n. 027/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
328,9,Oficio n. 028/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
329,9,Oficio n. 029/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
330,9,Oficio n. 030/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
331,9,Oficio n. 031/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
332,9,Oficio n. 032/GABJU,,2011,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
333,9,Oficio n. 034/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
334,9,Oficio n. 35/JE,,2011,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
335,9,Oficio n. 38/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
336,9,Oficio n. 39/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
337,9,Oficio n. 40/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
338,9,Oficio n. 041/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
339,9,Oficio n. 001/GABJU,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
340,9,Oficio n. 001/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
341,9,Oficio n. 002/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
342,9,Oficio n. 03/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
343,9,OF.JDF. N 004,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
344,9,OF. N. 04 /2011/GABJU,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
345,9,Oficio n. 005/JE,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
346,9,Oficio n. 006/GABJU,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
347,9,Oficio n. 011/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
348,9,Oficio n. 012/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
349,9,Oficio n. 13/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
350,9,Oficio n. 18/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
351,9,Oficio n. 19/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
352,9,Oficio n.020/GABJU/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
353,9,Oficio n.020/GABJU/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
354,9,Oficio n.021/GABJU/2012,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
355,9,Oficio n.021/GABJU/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
356,9,Oficio n.022/GABJU/2012,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
357,9,Oficio n.022/GABJU/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
358,9,Oficio n. 024/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
359,9,Oficio n. 025/JE,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
360,9,Oficio n.026/GABJU/2012,,2012,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
361,9,Oficio n.027/GABJU/2012,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
362,9,Oficio n.028/GABJU/2012,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
363,9,Oficio n.029/GABJU/2012,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
364,9,Oficio n.029/GABJU/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
365,9,Oficio n. 030/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
366,9,Oficio n. 031/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
367,9,Oficio n. 033/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
368,9,Oficio n. 034/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
369,9,Oficio n. 035/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
370,9,OF/GABJU N. 36,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
371,9,OF/GABJU N. 37,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
372,9,Oficio n. 038/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
373,9,Oficio n. 39/GABJU,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
374,9,Ofício n. 40/GABJU,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
375,9,Oficio n. 40/GABJU,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
376,9,Oficio n. 41/GABJU,,2012,2,ano,Eliminação,11,Bom,Outro,30/05/2022,484647
377,9,Oficio n. 41/GABJU,,2012,2,ano,Eliminação,7,Bom,Outro,30/05/2022,484647
378,9,Oficio n. 42/GABJU,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
379,9,Oficio n. 43/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
380,9,Oficio 43/GABJU,,2012,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
381,9,Oficio n. 45/GABJU,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
382,9,Oficio n 45/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
383,9,Oficio n. 046/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
384,,Oficio n. 047/JE,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
385,,Oficio n. 048/JE,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
386,,Oficio n. 049/JE,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
387,9,Oficio n. 50/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
388,9,Oficio n. 052/GABJU,,2012,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
389,9,Oficio n. 53 /GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
390,9,Oficio n. 54/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
391,9,Oficio n. 61/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
392,9,Oficio n. 62/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
393,9,Oficio n. 063/GABJU,,2012,2,ano,Eliminação,7,Bom,Outro,30/05/2022,484647
394,9,Oficio n 064/2012/GABJU,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
395,9,Oficio n. 64/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
396,9,Oficio n. 065/JE,,2012,2,ano,Eliminação,28,Bom,Outro,30/05/2022,484647
397,9,Oficio n. 066/JE,,2012,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
398,9,Oficio n. 067/GABJU,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
399,9,Oficio n.68/GABJU,,2012,2,ano,Eliminação,5,Bom,Outro,30/05/2022,484647
400,9,Ofício n.69/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
401,9,Oficio n. 070/JE,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
402,9,Oficio n. 071/JE,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
403,9,Oficio n.73/GABJU,,2012,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
404,9,Oficio n. 074/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
405,9,Oficio n. 076/GABJU,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
406,9,Oficio n. 077/GABJU,,2012,2,ano,Eliminação,3,Bom,Outro,30/05/2022,484647
407,9,Oficio n. 079/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
408,9,Oficio n. 079/GABJU,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
409,9,Oficio n. 080/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
410,9,Oficio n. 081/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
411,9,Oficio n. 082/GABJU,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
412,9,OF/MP/PJSM/N263/2011,,2011,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
413,9,OF/CAM n 001/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
414,9,OFICIO N 001/2012,,2012,2,ano,Eliminação,6,Bom,Outro,30/05/2022,484647
415,9,OF n. 01/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
416,9,Of. n. 002-CPE/11ZE/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
417,9,Oficio n002/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
418,9,Oficio n 02/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
419,9,OF/N 003/12,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
420,9,OF/CAM n2 004/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
421,9,OFICIO N 004/2012,,2012,2,ano,Eliminação,2,Bom,Outro,30/05/2022,484647
422,9,OF.PP/AC N. 005/12,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
423,9,OF/05/2011,,2011,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
424,9,OF/N 006/12,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
425,9,Oficio n. 07,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
426,9,OF/PSDB/N 008/12,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
427,9,OF/N 008/12,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
428,9,OFÍCIO N 08/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
429,9,OF/DMPTBJ/N009/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
430,9,Oficio n. 009/2012-SEJUD,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
431,9,Oficio n 13/2012/MPE-1 a Zona,,2012,2,ano,Eliminação,4,Bom,Outro,30/05/2022,484647
432,9,OF/PT — DM/016/12,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
433,9,OFÍCIO/N023/2012,,2012,2,ano,Eliminação,1,Bom,Outro,30/05/2022,484647
434,9,Oficio n. 029/ASJUIZ,,2012,2,ano,Eliminação,108,Bom,Outro,30/05/2022,484647
